Sectors,Volatility,Risk,Return 
 Consumer Discretionary,19.7,10.7,7
 Consumer Staples,15.2,4,10.3
 Energy,20.8,10.7,9
 Financials,22.4,12.6,6.3
 Health Care,19.9,7.7,9.1
 Industrials,17.6,9.9,7.5
 Information Technology,27.6,14.2,6.1
 Materials,18.7,11.5,5.1
 Real Estate,17.2,9,9.8
 Telecommunication Services,21.6,11.7,6.2
 Utilities,18.2,9.8,7.1
