Sectors,Volatility,Risk,Return 
Consumer Staples,15.20,4.00,10.30
Real Estate ,17.20,9.00,9.80
Industrials,17.60,9.90,7.50
Utilities ,18.20,9.80,7.10
Materials,18.70,11.50,5.10
Consumer Discrestionery,19.70,10.70,7.00
Health care,19.90,7.70,9.10
Energy,20.80,10.70,9.00
Telecom Services,21.60,11.70,6.20
Financials,22.40,12.60,6.30
Information Technology,27.60,14.20,6.10
