Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,25.620001,25.684999,25.184999,25.250000,23.975981,591800
2008-01-03,25.215000,25.430000,25.084999,25.125000,23.857292,492000
2008-01-04,24.844999,25.360001,24.844999,24.985001,23.724352,950000
2008-01-07,25.049999,25.475000,24.975000,25.400000,24.118416,742400
2008-01-08,25.375000,25.535000,25.065001,25.100000,23.833553,604000
2008-01-09,25.065001,25.250000,24.930000,25.010000,23.748093,1113600
2008-01-10,24.879999,25.415001,24.605000,24.635000,23.392012,1981800
2008-01-11,24.434999,24.620001,24.040001,24.075001,22.860271,1512000
2008-01-14,24.205000,24.450001,24.000000,24.090000,22.874508,969400
2008-01-15,23.924999,24.370001,23.860001,24.235001,23.012199,1250000
2008-01-16,24.190001,24.290001,23.990000,24.120001,22.902998,908800
2008-01-17,24.264999,24.735001,24.105000,24.170000,22.950480,782800
2008-01-18,24.250000,24.285000,23.930000,24.184999,22.964718,1361600
2008-01-22,23.264999,24.285000,23.264999,23.735001,22.537426,1238200
2008-01-23,23.365000,23.500000,23.105000,23.365000,22.186094,1187800
2008-01-24,23.450001,23.580000,23.180000,23.495001,22.309528,1032400
2008-01-25,23.575001,23.650000,23.325001,23.400000,22.219326,1197600
2008-01-28,23.389999,23.760000,23.389999,23.754999,22.556421,735000
2008-01-29,23.809999,24.325001,23.809999,24.200001,22.978956,804600
2008-01-30,24.049999,24.295000,23.674999,23.719999,22.523176,1005400
2008-01-31,23.420000,23.815001,23.420000,23.565001,22.376001,1276000
2008-02-01,23.770000,24.680000,23.530001,24.620001,23.377768,1182400
2008-02-04,24.705000,25.049999,24.434999,25.000000,23.738596,990600
2008-02-05,24.605000,25.475000,24.525000,25.180000,23.909515,1423800
2008-02-06,25.209999,25.434999,24.674999,24.684999,23.439495,1006400
2008-02-07,24.590000,24.885000,24.330000,24.535000,23.297058,908400
2008-02-08,24.440001,24.700001,23.850000,24.225000,23.002699,1106600
2008-02-11,24.200001,24.434999,23.969999,24.195000,22.974205,600200
2008-02-12,24.270000,24.469999,24.139999,24.430000,23.197357,730000
2008-02-13,24.600000,24.700001,23.985001,24.305000,23.078663,1617800
2008-02-14,24.344999,24.760000,24.334999,24.680000,23.434740,1046800
2008-02-15,24.590000,25.075001,24.555000,24.990000,23.729101,847200
2008-02-19,25.205000,25.250000,24.850000,24.865000,23.610409,759200
2008-02-20,24.795000,25.290001,24.750000,25.145000,23.876280,406200
2008-02-21,25.240000,25.410000,24.490000,24.615000,23.373024,849600
2008-02-22,24.600000,25.200001,24.230000,25.125000,23.857292,2016000
2008-02-25,25.155001,25.580000,25.014999,25.415001,24.132662,871000
2008-02-26,25.375000,25.760000,25.375000,25.600000,24.308321,969200
2008-02-27,25.385000,25.805000,25.344999,25.610001,24.317812,873400
2008-02-28,25.450001,25.750000,25.254999,25.525000,24.275023,1197400
2008-02-29,26.160000,27.459999,25.600000,26.709999,25.401993,3034400
2008-03-03,26.549999,27.155001,26.549999,27.125000,25.796669,1610600
2008-03-04,26.885000,27.440001,26.730000,27.230000,25.896526,1302000
2008-03-05,27.405001,27.405001,26.934999,27.115000,25.787155,963200
2008-03-06,27.025000,27.105000,26.780001,26.900000,25.582680,1062000
2008-03-07,26.719999,27.379999,26.410000,26.530001,25.230808,1287600
2008-03-10,26.594999,26.735001,26.285000,26.594999,25.292631,708600
2008-03-11,27.150000,27.150000,25.635000,25.910000,24.641171,1806400
2008-03-12,25.695000,26.625000,25.639999,26.285000,24.997805,745600
2008-03-13,25.799999,26.270000,25.565001,26.115000,24.836123,767800
2008-03-14,26.275000,26.610001,25.700001,26.469999,25.173744,1127200
2008-03-17,25.959999,26.209999,25.455000,25.674999,24.417673,886000
